localId,project,patch_url,fix_commit,repo_addr,on_crash_log,matched_files,crash_files
40096184,skia,https://skia.googlesource.com/skia.git/+/07afa23bd0fa74d18fb7faee898b2a876536a170%5E%21/,07afa23bd0fa74d18fb7faee898b2a876536a170,https://skia.googlesource.com/skia.git,1,src/codec/SkSwizzler.cpp,/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc;/src/skia/out/Fuzz/../../fuzz/oss_fuzz/FuzzAndroidCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkAndroidCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkGifCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkSampledCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkSwizzler.cpp;/src/skia/out/Fuzz/../../src/core/SkBitmap.cpp;/src/skia/out/Fuzz/../../src/core/SkMallocPixelRef.cpp;/src/skia/out/Fuzz/../../src/ports/SkMemory_malloc.cpp;/src/skia/out/Fuzz/../../third_party/gif/SkGifImageReader.cpp
40096185,skia,https://skia.googlesource.com/skia.git/+/7a3805c348c3791f86743ab6e7d10dff23c5b98b%5E%21/,7a3805c348c3791f86743ab6e7d10dff23c5b98b,https://skia.googlesource.com/skia.git,1,src/codec/SkSwizzler.cpp;src/codec/SkWuffsCodec.cpp,/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc;/src/skia/out/Fuzz/../../fuzz/oss_fuzz/FuzzImage.cpp;/src/skia/out/Fuzz/../../src/codec/SkCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkCodecImageGenerator.cpp;/src/skia/out/Fuzz/../../src/codec/SkSwizzler.cpp;/src/skia/out/Fuzz/../../src/codec/SkWuffsCodec.cpp;/src/skia/out/Fuzz/../../src/core/SkCanvas.cpp;/src/skia/out/Fuzz/../../src/core/SkDevice.cpp;/src/skia/out/Fuzz/../../src/core/SkImageGenerator.cpp;/src/skia/out/Fuzz/../../src/core/SkPixmapPriv.h;/src/skia/out/Fuzz/../../src/image/SkImage.cpp;/src/skia/out/Fuzz/../../src/image/SkImage_Lazy.cpp;/src/skia/out/Fuzz/../../src/ports/SkImageGenerator_skia.cpp;/src/skia/out/Fuzz/../../src/ports/SkMemory_malloc.cpp
42470017,curl,https://github.com/curl/curl/commit/78d5302b5c05a49ecfa2ee8b8f1a21a2902357d3,78d5302b5c05a49ecfa2ee8b8f1a21a2902357d3,https://github.com/curl/curl.git,0,,
42470018,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick646fe034e39dc1c971abb531a30c414e6c98923c,646fe034e39dc1c971abb531a30c414e6c98923c,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/tiff.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/memory.c;/src/graphicsmagick/magick/pixel_cache.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/msan/msan_interceptors.cc
42470026,skia,https://skia.googlesource.com/skia.git/+/fdd5b69feff3cf534a76e6c9855329631ebcc585%5E%21/,fdd5b69feff3cf534a76e6c9855329631ebcc585,https://skia.googlesource.com/skia.git,0,,/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc;/src/skia/out/Fuzz/../../fuzz/oss_fuzz/FuzzAnimatedImage.cpp;/src/skia/out/Fuzz/../../src/android/SkAnimatedImage.cpp;/src/skia/out/Fuzz/../../src/codec/SkCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkPngCodec.cpp;/src/skia/out/Fuzz/../../src/codec/SkSwizzler.cpp;/src/skia/out/Fuzz/../../third_party/externals/libpng/pngmem.c;/src/skia/out/Fuzz/../../third_party/externals/libpng/pngpread.c;/src/skia/out/Fuzz/../../third_party/externals/libpng/pngread.c;/src/skia/out/Fuzz/../../third_party/externals/libpng/pngrutil.c
42470054,mupdf,https://github.com/ArtifexSoftware/jbig2dec/commit/a61adc76510f4792d61de1e566676aa61b2e493e,a61adc76510f4792d61de1e566676aa61b2e493e,git://git.ghostscript.com/jbig2dec.git,0,,/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/mupdf/include/mupdf/fitz/stream.h;/src/mupdf/source/fitz/document.c;/src/mupdf/source/fitz/filter-jbig2.c;/src/mupdf/source/fitz/util.c;/src/mupdf/source/fuzz/pdf_fuzzer.cc;/src/mupdf/source/pdf/pdf-interpret.c;/src/mupdf/source/pdf/pdf-lex.c;/src/mupdf/source/pdf/pdf-run.c;/src/mupdf/thirdparty/jbig2dec/jbig2.c;/src/mupdf/thirdparty/jbig2dec/jbig2_generic.c;/src/mupdf/thirdparty/jbig2dec/jbig2_segment.c;/src/mupdf/thirdparty/jbig2dec/jbig2_symbol_dict.c
42470064,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagickbc328f2fcf47f91b1b14d04665cb209e30e0716d,bc328f2fcf47f91b1b14d04665cb209e30e0716d,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/annotate.c;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/render.c;/src/graphicsmagick/magick/utility.c;/src/libfuzzer/afl/afl_driver.cpp
42470067,imagemagick,https://github.com/imagemagick/imagemagick/commit/cfd2824f02b6cee4ed6e105d50035c74142d9bf0,cfd2824f02b6cee4ed6e105d50035c74142d9bf0,https://github.com/imagemagick/imagemagick,1,MagickCore/token.c,/src/imagemagick/./MagickCore/token-private.h;/src/imagemagick/Magick++/fuzz/encoder_label_fuzzer.cc;/src/imagemagick/Magick++/fuzz/encoder_utils.cc;/src/imagemagick/Magick++/lib/Image.cpp;/src/imagemagick/MagickCore/constitute.c;/src/imagemagick/MagickCore/memory.c;/src/imagemagick/MagickCore/property.c;/src/imagemagick/MagickCore/signature.c;/src/imagemagick/MagickCore/string.c;/src/imagemagick/MagickCore/token.c;/src/imagemagick/coders/label.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/msan/msan_interceptors.cc
42470093,harfbuzz,https://github.com/harfbuzz/harfbuzz/commit/2dde6c803a9e50c5bff74095187b0cb2e12eebdd,2dde6c803a9e50c5bff74095187b0cb2e12eebdd,https://github.com/harfbuzz/harfbuzz.git,0,,/src/harfbuzz/./test/fuzzing/hb-subset-fuzzer.cc;/src/harfbuzz/src/./hb-machinery.hh;/src/harfbuzz/src/./hb-ot-layout-common.hh;/src/harfbuzz/src/./hb-ot-layout-gsub-table.hh;/src/harfbuzz/src/./hb-ot-layout-gsubgpos.hh;/src/harfbuzz/src/hb-blob.cc;/src/harfbuzz/src/hb-ot-layout.cc;/src/harfbuzz/src/hb-subset-plan.cc;/src/harfbuzz/src/hb-subset.cc;/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc
42470094,harfbuzz,https://github.com/harfbuzz/harfbuzz/commit/2dde6c803a9e50c5bff74095187b0cb2e12eebdd,2dde6c803a9e50c5bff74095187b0cb2e12eebdd,https://github.com/harfbuzz/harfbuzz.git,0,,/src/harfbuzz/./test/fuzzing/hb-subset-fuzzer.cc;/src/harfbuzz/src/./hb-dsalgs.hh;/src/harfbuzz/src/./hb-machinery.hh;/src/harfbuzz/src/./hb-ot-layout-common.hh;/src/harfbuzz/src/./hb-ot-layout-gsub-table.hh;/src/harfbuzz/src/./hb-ot-layout-gsubgpos.hh;/src/harfbuzz/src/hb-ot-layout.cc;/src/harfbuzz/src/hb-subset-plan.cc;/src/harfbuzz/src/hb-subset.cc;/src/libfuzzer/afl/afl_driver.cpp
