localId,project,patch_url,fix_commit,repo_addr,on_crash_log,matched_files,crash_files,patch_source
42470018,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick646fe034e39dc1c971abb531a30c414e6c98923c,646fe034e39dc1c971abb531a30c414e6c98923c,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/tiff.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/memory.c;/src/graphicsmagick/magick/pixel_cache.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/msan/msan_interceptors.cc,
42470064,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagickbc328f2fcf47f91b1b14d04665cb209e30e0716d,bc328f2fcf47f91b1b14d04665cb209e30e0716d,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/annotate.c;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/render.c;/src/graphicsmagick/magick/utility.c;/src/libfuzzer/afl/afl_driver.cpp,
42470109,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagickf9154aa8139f5761d61b8108a2252c55187b0602,f9154aa8139f5761d61b8108a2252c55187b0602,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/render.c;/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc,
42470166,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick84d561c2fad5a9643eebecbeaec95a4656d68ade,84d561c2fad5a9643eebecbeaec95a4656d68ade,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/dcm.c;/src/graphicsmagick/coders/jnx.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp,
42470311,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagickdfe0ac275b84fe5eaa2db36bfd64f88265a9644c,dfe0ac275b84fe5eaa2db36bfd64f88265a9644c,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/dcm.c;/src/graphicsmagick/coders/sfw.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp,
42470341,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick90ff9f04a465b7f797c23799afdd3d45c45f07ce,90ff9f04a465b7f797c23799afdd3d45c45f07ce,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/render.c;/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc,
42470443,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick2c147f7b970a749bf8c0d40a61b34443d22223a3,2c147f7b970a749bf8c0d40a61b34443d22223a3,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/png.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc,
42470720,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick709e7ed55c6ae30c7d822d589ee1baefd7577507,709e7ed55c6ae30c7d822d589ee1baefd7577507,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/render.c;/src/graphicsmagick/magick/utility.c;/src/libfuzzer/afl/afl_driver.cpp;/src/llvm/projects/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cc,
42470888,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagick827ab542df6ef5fad54f28933acf06dc546d2e94,827ab542df6ef5fad54f28933acf06dc546d2e94,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/mvg.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/memory.c;/src/graphicsmagick/magick/render.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/msan/msan_interceptors.cc,
42472093,graphicsmagick,https://foss.heptapod.net/graphicsmagick/graphicsmagickc85ced189946725146bc80b38947ab35b3895e8b,c85ced189946725146bc80b38947ab35b3895e8b,https://foss.heptapod.net/graphicsmagick/graphicsmagick,-1,,/src/graphicsmagick/Magick++/lib/Image.cpp;/src/graphicsmagick/coders/tiff.c;/src/graphicsmagick/fuzzing/coder_fuzzer.cc;/src/graphicsmagick/magick/blob.c;/src/graphicsmagick/magick/constitute.c;/src/graphicsmagick/magick/memory.c;/src/graphicsmagick/magick/pixel_cache.c;/src/graphicsmagick/magick/resize.c;/src/libfuzzer/FuzzerDriver.cpp;/src/libfuzzer/FuzzerLoop.cpp;/src/libfuzzer/FuzzerMain.cpp;/src/llvm/projects/compiler-rt/lib/msan/msan_interceptors.cc,
